Location,Latitude,Longitude
Tsukuba,36.2,140.1
Yamagata-shi,38.24,140.36
Iwakuni,34.15,132.18
Otaru,43.19,141.0
Ebetsu,43.11,141.55
Yokkaichi,34.97,136.62
Shizuoka-shi,34.98,138.38
Yonago,35.43,133.33
Ube,33.94,131.25
Oyama,36.3,139.8
Chikushino-shi,33.5,130.52
Komsomol’sk-na-Amure,50.55,137.01
Hiroshima-shi,34.4,132.46
Kumamoto-shi,32.79,130.74
Takamatsu-shi,34.34,134.04
Nagaoka,37.45,138.85
Tottori,35.5,134.23
Oita-shi,33.24,131.61
Hakodate,41.78,140.74
Morioka-shi,39.7,141.15
Kitami,43.8,143.89
Toyohashi,34.77,137.38
Asahikawa,43.77,142.37
Yao,34.62,135.6
Niihama,33.96,133.32
Sasebo,33.16,129.72
Koriyama,37.4,140.38
Matsue-shi,35.47,133.05
Nagasaki-shi,32.74,129.87
Sidon,33.56,35.38
Port Said,31.26,32.28
Tripoli,34.44,35.85
Al Minya,28.11,30.75
Al Qurayyat,31.33,37.34
Halwan,29.84,31.3
Antalya,36.91,30.7
Kosti,13.16,32.66
Turgutlu,38.5,27.7
Benghazi,32.12,20.13
Eskisehir,39.78,30.52
Usak,38.67,29.41
Konya,37.87,32.48
Kafr ad Dawwar,31.13,30.13
Beersheba,31.25,34.79
Alanya,36.54,32.0
Deir ez-Zor,35.34,40.14
Tanda,30.79,31.0
Adapazari,40.78,30.4
Balikesir,39.65,27.89
Latakia,35.53,35.79
Nablus,32.22,35.25
Ashqelon,31.67,34.57
Cholula,19.06,-98.3
Mixco,14.63,-90.61
Killeen,31.12,-97.73
Tepic,21.5,-104.89
Ciudad Guzman,19.7,-103.46
Ciudad Victoria,23.74,-99.15
Beaumont,30.09,-94.1
Ciudad Valles,21.98,-99.02
Guaymas,27.92,-110.9
Poza Rica de Hidalgo,20.53,-97.46
Morelia,19.7,-101.18
Irapuato,20.68,-101.35
Oaxaca,17.07,-96.72
Tlaquepaque,20.64,-103.29
Los Mochis,25.79,-108.99
Victoria de Durango,24.02,-104.66
Ciudad Acuna,29.32,-100.95
San Antonio,29.42,-98.49
Monterrey,25.68,-100.32
Conselheiro Lafaiete,-20.66,-43.79
Pindamonhangaba,-22.92,-45.46
Varginha,-21.55,-45.43
Sobral,-3.69,-40.35
Joinville,-26.3,-48.85
Sao Paulo,-23.55,-46.64
Barra Mansa,-22.54,-44.17
Uberlandia,-18.92,-48.28
Aparecida de Goiania,-16.82,-49.24
Santarem,-2.44,-54.71
Luziania,-16.25,-47.95
Anapolis,-16.33,-48.95
Colatina,-19.54,-40.63
Itapevi,-23.55,-46.93
Aracatuba,-21.21,-50.43
Blumenau,-26.92,-49.07
Catanduva,-21.14,-48.97
Sao Jose do Rio Preto,-20.82,-49.38
Ribeirao das Neves,-19.77,-44.09
Itabuna,-14.79,-39.28
Niteroi,-22.88,-43.1
Parnamirim,-5.92,-35.26
Camacari,-12.7,-38.32
Imperatriz,-5.53,-47.49
Caxias,-4.86,-43.36
Jau,-22.3,-48.56
Rondonpolis,-16.47,-54.64
Aracaju,-10.91,-37.07
Varzea Paulista,-23.21,-46.83
Vitoria da Conquista,-14.87,-40.84
Teresopolis,-22.41,-42.97
Guaratingueta,-22.82,-45.19
Sao Jose,-28.21,-49.16
Coronel Fabriciano,-19.52,-42.63
